name,code,symbolCode,tradePrice,change,changePrice,changeRate,accTradeVolume,accTradePrice,marketCap,foreignRatio
현대건설우,KR7000721001,A000725,211500.0,FALL,2500.0,-0.011682243,336,70385500,20908044000.0,6.060
진흥기업우B,KR7002781003,A002785,7100.0,FALL,130.0,-0.0179806362,627,4478770,6086247800.0,0.110
진흥기업2우B,KR7002782001,A002787,15900.0,FALL,450.0,-0.0275229358,355,5669800,4687447200.0,1.010
코오롱글로벌우,KR7003071008,A003075,38000.0,FALL,1750.0,-0.0440251572,2436,93044250,11886514000.0,0.870
한국금융지주우,KR7071051007,A071055,79800.0,FALL,700.0,-0.0086956522,16968,1349571600,467488429800.0,16.320
CJ우,KR7001041003,A001045,64300.0,FALL,600.0,-0.0092449923,1780,114540700,145332338900.0,13.850
DL우,KR7000211003,A000215,46500.0,FALL,450.0,-0.0095846645,1181,54661800,78404347500.0,7.730
LX홀딩스1우,KR738380K012,A38380K,17800.0,FALL,200.0,-0.0111111111,3847,68342250,26082073000.0,7.740
CJ4우(전환),KR700104K010,A00104K,86500.0,FALL,1000.0,-0.0114285714,1399,120884400,365593288000.0,8.090
대덕1우,KR700806K010,A00806K,12600.0,FALL,150.0,-0.0117647059,2912,36799250,15275698200.0,1.300
코오롱우,KR7002021004,A002025,20350.0,FALL,350.0,-0.0169082126,5541,114121650,21904536500.0,7.910
대상홀딩스우,KR7084691005,A084695,13700.0,FALL,250.0,-0.017921147,2856,39233000,12514703400.0,3.950
하이트진로홀딩스우,KR7000141002,A000145,20000.0,FALL,550.0,-0.0267639903,13386,273382300,9416200000.0,2.590
티와이홀딩스우,KR736328K013,A36328K,28200.0,FALL,800.0,-0.0275862069,12514,352030100,35400531600.0,1.600
흥국화재2우B,KR7000542001,A000547,30000.0,FALL,250.0,-0.0082644628,736,21925600,4608000000.0,0.570
흥국화재우,KR7000541003,A000545,11050.0,FALL,250.0,-0.0221238938,1517,16652550,8486400000.0,1.080
동양우,KR7001521004,A001525,10200.0,FALL,100.0,-0.0097087379,5784,59463150,6300856200.0,0.290
두산우,KR7000151001,A000155,71700.0,FALL,700.0,-0.0096685083,6277,449735800,286546325400.0,6.650
ESR켄달스퀘어리츠,KR7365550003,A365550,7280.0,FALL,100.0,-0.0135501355,99978,727769930,1042925520000.0,23.260
대교우B,KR7019681006,A019685,3595.0,FALL,50.0,-0.0137174211,98846,354543540,69840029050.0,4.720
녹십자홀딩스2우,KR7005252002,A005257,77500.0,FALL,1700.0,-0.0214646465,475,36896500,65564225000.0,0.120
SK바이오팜,KR7326030004,A326030,124500.0,FALL,1000.0,-0.0079681275,74004,9186346000,9749999625000.0,6.910
우리금융지주,KR7316140003,A316140,11200.0,FALL,100.0,-0.0088495575,541044,6033743550,8089398049600.0,25.780
GS,KR7078930005,A078930,43400.0,FALL,400.0,-0.0091324201,80721,3479347950,4032527405200.0,19.370
삼성생명,KR7032830002,A032830,75300.0,FALL,700.0,-0.0092105263,111949,8426391900,15060000000000.0,13.230
CJ,KR7001040005,A001040,100500.0,FALL,1000.0,-0.0098522167,34401,3453268600,2932288299000.0,17.620
삼성화재,KR7000810002,A000810,215500.0,FALL,2500.0,-0.0114678899,24146,5230707500,10209277373500.0,48.440
NAVER,KR7035420009,A035420,437500.0,FALL,5500.0,-0.0124153499,450960,196817836500,71865235312500.0,56.950
롯데지주,KR7004990008,A004990,38650.0,FALL,550.0,-0.0140306122,85318,3304910050,4054742010050.0,8.390
하나금융지주,KR7086790003,A086790,42150.0,FALL,650.0,-0.0151869159,612206,25714188100,12655202913300.0,68.120
포스코케미칼,KR7003670007,A003670,163500.0,FALL,3000.0,-0.018018018,225452,37221032500,12665236470000.0,8.260
신한지주,KR7055550008,A055550,37500.0,FALL,700.0,-0.0183246073,758958,28490627150,19372483275000.0,60.290
대웅,KR7003090008,A003090,36750.0,FALL,700.0,-0.0186915888,106644,3932870700,2136717765000.0,3.540
두산밥캣,KR7241560002,A241560,45600.0,FALL,900.0,-0.0193548387,141350,6460993750,4571361969600.0,26.050
카카오,KR7035720002,A035720,151000.0,FALL,3000.0,-0.0194805195,4088732,616369878000,67113494730000.0,31.850
삼익악기,KR7002450005,A002450,1870.0,FALL,15.0,-0.0079575597,109778,204734850,169292811050.0,3.570
갤럭시아에스엠,KR7011420007,A011420,1870.0,FALL,15.0,-0.0079575597,43293,80360270,51517834280.0,3.970
DB,KR7012030003,A012030,1235.0,FALL,10.0,-0.0080321285,988182,1205285630,248449807255.0,2.650
비케이탑스,KR7030790000,A030790,9850.0,FALL,80.0,-0.0080563948,57629,564387510,129309312650.0,0.530
동성케미컬,KR7102260007,A102260,6140.0,FALL,50.0,-0.0080775444,24449,149685800,305094929920.0,4.010
진흥기업,KR7002780005,A002780,2450.0,FALL,20.0,-0.008097166,533167,1297580220,356405775250.0,1.240
비상교육,KR7100220003,A100220,12200.0,FALL,100.0,-0.0081300813,174910,2124851450,158560240200.0,5.450
조선선재,KR7120030002,A120030,121500.0,FALL,1000.0,-0.0081632653,1767,212836500,152804596500.0,1.280
일성건설,KR7013360003,A013360,3950.0,FALL,35.0,-0.008782936,372991,1472472390,213398276000.0,64.640
에이플러스에셋,KR7244920005,A244920,11150.0,FALL,100.0,-0.0088888889,124228,1379710450,252075776950.0,0.870
TYM,KR7002900009,A002900,2050.0,FALL,20.0,-0.0096618357,834490,1707028250,289797725200.0,2.780
코오롱,KR7002020006,A002020,30650.0,FALL,300.0,-0.0096930533,22246,679092550,386999956900.0,11.810
디와이,KR7013570007,A013570,6130.0,FALL,60.0,-0.0096930533,64344,391752560,161339350290.0,11.150
퍼시스,KR7016800005,A016800,35650.0,FALL,350.0,-0.0097222222,2030,72515300,409975000000.0,19.920
케이탑리츠,KR7145270005,A145270,1510.0,FALL,15.0,-0.0098360656,203611,307155385,69798431770.0,12.970
코아스,KR7071950000,A071950,1500.0,FALL,15.0,-0.0099009901,162036,242970705,46360815000.0,3.920
계룡건설,KR7013580006,A013580,34500.0,FALL,350.0,-0.0100430416,20639,708376150,308116291500.0,24.250
에넥스,KR7011090008,A011090,2955.0,FALL,30.0,-0.0100502513,678127,1996791015,177275299155.0,0.870
대현,KR7016090003,A016090,2950.0,FALL,30.0,-0.0100671141,171808,505947095,130632814500.0,8.710
한신공영,KR7004960001,A004960,24550.0,FALL,250.0,-0.0100806452,8802,215436550,284060734100.0,13.950
한솔홀딩스,KR7004150009,A004150,4375.0,FALL,45.0,-0.0101809955,68904,301439460,183787524375.0,14.880
하이골드3호,KR7153360003,A153360,1925.0,FALL,20.0,-0.0102827763,868,1678970,31088345750.0,0.000
SBS미디어홀딩스,KR7101060002,A101060,2385.0,FALL,25.0,-0.010373444,705291,1673132860,333652413150.0,2.290
화천기공,KR7000850008,A000850,37850.0,FALL,400.0,-0.0104575163,867,32862700,83270000000.0,8.660
조광피혁,KR7004700001,A004700,56300.0,FALL,600.0,-0.0105448155,1121,62611500,374346469400.0,0.410
