순위,아티스트,곡명,앨범
1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),쇼미더머니 9 Episode 1
2,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3
3,Dynamite,방탄소년단,Dynamite (DayTime Version)
4,잠이 오질 않네요,장범준,잠이 오질 않네요
5,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
6,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
7,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani),쇼미더머니 9 Episode 3
8,Lovesick Girls,BLACKPINK,THE ALBUM
9,Life Goes On,방탄소년단,BE
10,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
11,Freak (Prod. Slom),릴보이 (lIlBOI),쇼미더머니 9 Episode 1
12,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda,쇼미더머니 9 Episode 3
13,오래된 노래,스탠딩 에그,오래된 노래
14,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
15,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
16,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
17,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME
18,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga)
19,When We Disco (Duet with 선미),박진영,When We Disco
20,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
21,적외선 카메라,원슈타인,쇼미더머니 9 Episode 3
22,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
23,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
24,Santa Tell Me,Ariana Grande,Santa Tell Me
25,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
26,뻔한남자,이승기,뻔한남자
27,How You Like That,BLACKPINK,How You Like That
28,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
29,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내
30,I CAN’T STOP ME,TWICE (트와이스),Eyes wide open
31,혼술하고 싶은 밤,벤,혼술하고 싶은 밤
32,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),스윙스,쇼미더머니 9 Episode 1
33,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
34,아로하,조정석,슬기로운 의사생활 OST Part 3
35,가을밤에 든 생각,잔나비,잔나비 소곡집 l
36,눈누난나 (NUNU NANA),제시 (Jessi),NUNA
37,부어라 비워라 (Tricker) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM),쇼미더머니 9 Episode 3
38,Blueming,아이유,Love poem
